personID,momID,dadID,sex,famID,byear,dyear,lrs,ars_mean
8,,,F,8,,,,
11,,,F,8,,,,
13,,,F,8,,,,
51,,,F,8,,,,
58,,,F,8,,,,
59,,,F,8,,,,
72,,,F,8,,,,
184,,,F,8,,,,
200,58,,M,8,,,,
201,58,,F,8,,,,
220,8,,F,8,1987,1987,0,0
221,8,,F,8,1987,1987,0,0
222,8,,F,8,1987,1987,0,0
226,11,,M,8,,,,
227,11,,M,8,,,,
228,11,,F,8,1987,1987,0,0
232,13,,F,8,1987,1987,0,0
318,,,F,160,,,,
369,11,,F,8,1988,1993,13,2.17
370,11,,M,8,,,,
371,13,,M,8,,,,
372,13,,M,8,,,,
431,,,F,8,,,,
437,,,F,8,,,,
450,51,,F,8,1989,1990,0,0
451,51,,F,8,1989,1989,0,0
452,51,,F,8,1989,1991,2,0.67
467,59,,F,8,1989,1989,0,0
468,59,,F,8,1989,1992,0,0
486,72,,M,8,,,,
487,72,,M,8,,,,
488,72,,M,8,,,,
494,11,,M,8,,,,
495,11,,M,8,,,,
496,11,,F,8,1989,1989,0,0
636,59,,M,8,,,,
637,59,,F,8,1990,1990,0,0
638,59,,F,8,1990,1990,0,0
646,11,,M,8,,,,
647,11,,F,8,1990,1990,0,0
648,11,,M,8,,,,
651,13,,M,8,,,,
652,13,,F,8,1990,1991,0,0
656,201,,F,8,1990,1990,0,0
657,201,,M,8,,,,
658,201,,F,8,1990,1990,0,0
666,184,,F,8,1990,1994,14,2.8
667,184,,F,8,1990,1994,7,1.4
668,184,,F,8,1990,1990,0,0
674,431,,F,8,1990,1990,0,0
675,431,,M,8,,,,
680,369,,M,8,,,,
681,369,,M,8,,,,
706,,,F,8,,,,
708,,,F,8,,,,
751,51,,M,8,,,,
752,51,,F,8,1991,1991,0,0
753,51,,F,8,1991,1991,0,0
756,452,,F,8,1991,1994,11,2.75
757,452,,M,8,,,,
758,59,,F,8,1991,1992,4,1.5
759,59,,F,8,1991,1992,0,0
765,8,,F,8,1991,1995,9,1.8
766,8,,F,8,1991,1994,10,2.5
767,72,,F,8,1991,1991,0,0
768,72,,F,8,1991,1995,14,2.8
771,11,,F,8,1991,1998,27,3.38
772,11,,M,8,,,,
773,11,,F,8,1991,1999,28,3.11
774,13,,F,8,1991,1991,0,0
775,13,,F,8,1991,1993,8,2.67
788,318,,F,160,1991,1998,16,2
789,318,,F,160,1991,1992,0,0
796,201,,F,8,1991,1991,0,0
797,201,,M,8,,,,
798,201,,F,8,1991,1991,0,0
799,201,,M,8,,,,
800,201,,F,8,1991,1991,0,0
806,431,,F,8,1991,1991,0,0
807,431,,M,8,,,,
818,437,,M,8,,,,
819,437,,M,8,,,,
820,437,,F,8,1991,1992,0,0
821,437,,M,8,,,,
837,369,,M,8,,,,
838,369,,F,8,1991,1991,0,0
839,369,,F,8,1991,1991,0,0
906,,,F,8,,,,
919,,,F,8,,,,
933,,,F,8,,,,
944,51,,M,8,,,,
945,59,,M,8,,,,
946,59,,F,8,,,,
947,59,,M,8,,,,
948,59,,F,8,1992,1992,0,0
959,72,,F,8,1992,1992,0,0
960,72,,F,8,1992,1992,0,0
961,72,,M,8,,,,
962,11,,M,8,,,,
963,11,,M,8,,,,
964,11,,F,8,1992,1992,0,0
965,13,,F,8,1992,1992,0,0
966,13,,M,8,,,,
967,13,,F,8,1992,1992,0,0
968,13,,M,8,,,,
969,13,,F,8,1992,1992,0,0
970,13,,F,8,1992,1992,0,0
971,13,,F,8,1992,1992,0,0
972,13,,F,8,1992,1993,0,0
973,13,,M,8,,,,
974,13,,M,8,,,,
975,13,,F,8,1992,1992,0,0
976,13,,F,8,1992,1992,0,0
1000,666,,F,8,1992,1992,0,0
1001,666,,M,8,,,,
1002,666,,M,8,,,,
1003,431,,F,8,1992,1992,0,0
1004,431,,M,8,,,,
1005,431,,M,8,,,,
1007,775,,M,8,,,,
1008,775,,M,8,,,,
1009,775,,F,8,1992,1992,0,0
1010,775,,M,8,,,,
1015,773,,F,8,1992,1992,0,0
1016,773,,M,8,,,,
1017,773,,F,8,1992,1992,0,0
1018,771,,M,8,,,,
1025,437,,F,8,1992,1995,11,2.75
1026,437,,M,8,,,,
1027,437,,M,8,,,,
1028,765,,F,8,1992,1992,0,0
1029,765,,F,8,1992,1992,0,0
1030,765,,F,8,1992,1992,0,0
1031,756,,F,8,1992,1994,5,1.67
1032,756,,F,8,1992,1992,0,0
1033,766,,M,8,,,,
1034,766,,F,8,1992,1992,0,0
1035,766,,M,8,,,,
1041,706,,M,8,,,,
1042,706,,F,8,1992,1996,10,2
1043,706,,F,8,1992,1992,0,0
1044,706,,F,8,1992,1992,0,0
1053,768,,M,8,,,,
1054,768,,M,8,,,,
1055,768,,M,8,,,,
1066,758,,M,8,,,,
1067,758,,M,8,,,,
1068,758,,F,8,1992,1992,0,0
1069,788,,M,160,,,,
1070,788,,M,160,,,,
1071,788,,M,160,,,,
1072,788,,F,160,1992,1992,0,0
1092,369,,M,8,,,,
1093,369,,M,8,,,,
1094,369,,M,8,,,,
1095,369,,F,8,1992,1992,0,0
1235,,,F,8,,,,
1240,59,,M,8,,,,
1241,59,,F,8,1993,1993,0,0
1242,59,,M,8,,,,
1243,59,,F,8,1993,1999,28,4
1244,59,,F,8,,,,
1245,59,,M,8,,,,
1246,8,,M,8,,,,
1247,8,,F,8,1993,1999,8,1.14
1248,8,,M,8,,,,
1249,72,,M,8,,,,
1250,72,,F,8,1993,1993,0,0
1261,201,,M,8,,,,
1262,201,,F,8,1993,1993,0,0
1263,201,,M,8,,,,
1264,201,,M,8,,,,
1265,201,,F,8,1993,2000,20,2.5
1266,201,,M,8,,,,
1267,201,,M,8,,,,
1268,201,,M,8,,,,
1269,201,,F,8,1993,1996,4,1
1270,667,,M,8,,,,
1271,667,,M,8,,,,
1272,667,,M,8,,,,
1273,667,,F,8,1993,1993,0,0
1274,666,,F,8,1993,1993,0,0
1275,666,,M,8,,,,
1276,666,,F,8,1993,1998,31,5.17
1277,666,,M,8,,,,
1278,666,,M,8,,,,
1279,666,,M,8,,,,
1280,666,,M,8,,,,
1281,666,,M,8,,,,
1284,431,,F,8,1993,1993,0,0
1285,431,,F,8,1993,1993,0,0
1286,431,,F,8,1993,1993,0,0
1287,431,,M,8,,,,
1288,431,,M,8,,,,
1289,431,,M,8,,,,
1290,431,,F,8,1993,1995,5,1.67
1291,431,,M,8,,,,
1292,431,,M,8,,,,
1293,431,,M,8,,,,
1295,775,,M,8,,,,
1296,775,,F,8,1993,1995,3,1
1297,775,,F,8,,,,
1298,775,,F,8,1993,1997,15,3
1303,773,,M,8,,,,
1304,773,,F,8,1993,1994,3,1.5
1305,773,,F,8,1993,1994,3,1.5
1306,773,,M,8,,,,
1307,771,,F,8,1993,1993,0,0
1308,771,,F,8,1993,1994,0,0
1309,771,,M,8,,,,
1310,771,,F,8,1993,1993,0,0
1311,771,,F,8,1993,1994,2,1
1312,771,,M,8,,,,
1313,771,,M,8,,,,
1314,771,,F,8,1993,1998,19,3.17
1315,771,,M,8,,,,
1316,765,,F,8,1993,1994,3,1.5
1317,765,,M,8,,,,
1318,765,,M,8,,,,
1319,756,,M,8,,,,
1320,756,,M,8,,,,
1321,756,,M,8,,,,
1322,756,,F,8,1993,1993,0,0
1323,756,,F,8,1993,1999,11,1.57
1324,766,,F,8,1993,1999,22,3.14
1325,766,,F,8,1993,1996,6,1.5
1326,766,,M,8,,,,
1327,766,,F,8,1993,2000,26,3.25
1332,706,,F,8,1993,1993,0,0
1333,706,,M,8,,,,
1334,706,,M,8,,,,
1335,706,,F,8,1993,1999,10,1.43
1336,706,,F,8,1993,2001,15,1.67
1337,706,,F,8,1993,1999,12,1.71
1338,706,,M,8,,,,
1339,706,,M,8,,,,
1340,706,,M,8,,,,
1341,1031,,F,8,1993,1994,0,0
1342,1031,,F,8,1993,1993,0,0
1343,1031,,F,8,1993,1993,0,0
1344,708,,M,8,,,,
1345,708,,F,8,1993,1999,16,2.29
1346,708,,M,8,,,,
1347,708,,F,8,1993,1993,0,0
1354,906,,M,8,,,,
1355,906,,F,8,1993,2000,15,1.88
1356,906,,M,8,,,,
1357,906,,F,8,,,,
1358,906,,F,8,1993,1995,8,2.67
1359,906,,M,8,,,,
1363,1042,,F,8,1993,1994,0,0
1364,1042,,F,8,1993,1994,0,0
1365,1042,,F,8,1993,1993,0,0
1378,919,,M,8,,,,
1379,919,,F,8,1993,1999,9,1.29
1380,919,,F,8,,,,
1384,768,,F,8,1993,1993,0,0
1385,768,,F,8,1993,1994,3,1.5
1386,768,,F,8,1993,1993,0,0
1387,768,,F,8,1993,1993,0,0
1388,768,,M,8,,,,
1389,768,,F,8,1993,1993,0,0
1408,1025,,F,8,1993,1995,3,1
1409,1025,,M,8,,,,
1410,1025,,F,8,1993,1997,5,1
1411,1025,,M,8,,,,
1441,788,,M,160,,,,
1442,788,,M,160,,,,
1458,369,,F,8,1993,1996,6,1.5
1459,369,,F,8,1993,1993,0,0
1460,369,,M,8,,,,
1461,369,,M,8,,,,
1518,,,F,8,,,,
1527,201,,M,8,,,,
1528,201,,F,8,1994,1994,0,0
1529,201,,M,8,,,,
1530,201,,M,8,,,,
1531,667,,F,8,1994,1994,0,0
1532,667,,M,8,,,,
1533,667,,F,8,1994,1994,0,0
1534,666,,M,8,,,,
1535,666,,F,8,1994,1994,0,0
1536,666,,F,8,1994,1994,0,0
1537,431,,F,8,1994,1994,0,0
1538,431,,F,8,1994,1994,0,0
1539,431,,M,8,,,,
1540,431,,F,8,1994,1994,0,0
1541,431,,M,8,,,,
1546,773,,F,8,1994,1994,0,0
1547,773,,M,8,,,,
1548,773,,M,8,,,,
1549,771,,M,8,,,,
1550,771,,F,8,1994,1994,0,0
1551,765,,F,8,1994,1994,0,0
1552,765,,F,8,1994,1994,0,0
1553,765,,M,8,,,,
1554,756,,M,8,,,,
1555,756,,M,8,,,,
1556,756,,F,8,1994,1994,0,0
1557,756,,M,8,,,,
1558,766,,M,8,,,,
1559,766,,M,8,,,,
1560,766,,F,8,1994,1994,0,0
1561,706,,M,8,,,,
1562,706,,M,8,,,,
1563,706,,M,8,,,,
1564,1031,,M,8,,,,
1565,1031,,F,8,1994,1994,0,0
1566,708,,F,8,1994,1994,0,0
1567,708,,M,8,,,,
1568,708,,F,8,1994,1994,0,0
1569,708,,F,8,1994,1998,11,2.2
1579,1042,,F,8,1994,1994,0,0
1580,1042,,F,8,1994,1995,2,1
1581,1042,,M,8,,,,
1587,1314,,F,8,1994,1994,0,0
1588,1314,,M,8,,,,
1589,1314,,F,8,1994,1994,0,0
1593,1316,,M,8,,,,
1594,1316,,M,8,,,,
1595,1316,,F,8,1994,1994,0,0
1596,919,,F,8,1994,1994,0,0
1597,919,,F,8,1994,1994,0,0
1598,919,,M,8,,,,
1599,1358,,M,8,,,,
1600,1358,,F,8,1994,1994,0,0
1601,1358,,F,8,1994,1994,0,0
1602,1311,,F,8,1994,1994,0,0
1603,1311,,M,8,,,,
1607,1304,,M,8,,,,
1608,1304,,F,8,1994,1994,0,0
1609,1304,,M,8,,,,
1610,1305,,M,8,,,,
1611,1305,,M,8,,,,
1612,1305,,F,8,1994,1995,0,0
1613,768,,F,8,1994,1999,20,3.33
1614,768,,F,8,1994,1999,11,1.83
1615,768,,M,8,,,,
1621,1025,,F,8,1994,1994,0,0
1622,1025,,F,8,1994,1994,0,0
1623,1025,,M,8,,,,
1624,1025,,M,8,,,,
1642,788,,M,160,,,,
1643,788,,F,160,1994,2005,15,1.25
1644,788,,M,160,,,,
1650,1296,,F,8,1994,1994,0,0
1651,1296,,F,8,1994,1994,0,0
1652,1296,,F,8,1994,1994,0,0
1653,1408,,F,8,1994,1994,0,0
1654,1408,,F,8,1994,1994,0,0
1655,1408,,F,8,1994,1994,0,0
1659,1297,,M,8,,,,
1660,1297,,F,8,1994,1994,0,0
1661,1297,,F,8,1994,1994,0,0
1662,1297,,M,8,,,,
1663,1298,,F,8,1994,1994,0,0
1664,1298,,F,8,1994,1994,0,0
1665,1298,,F,8,1994,1994,0,0
1666,1298,,F,8,1994,1994,0,0
1667,1243,,M,8,,,,
1668,1243,,F,8,1994,1994,0,0
1669,1243,,F,8,1994,2000,19,2.71
1670,1243,,M,8,,,,
1671,1276,,F,8,1994,1994,0,0
1672,1276,,F,8,1994,1994,0,0
1673,1276,,F,8,1994,1994,0,0
1674,1385,,M,8,,,,
1675,1385,,F,8,1994,1994,0,0
1676,1385,,M,8,,,,
1677,1290,,M,8,,,,
1678,1290,,F,8,1994,1994,0,0
1679,1290,,M,8,,,,
1682,933,,M,8,,,,
1683,933,,M,8,,,,
1684,933,,M,8,,,,
1691,1380,,F,8,1994,1994,0,0
1692,1380,,M,8,,,,
1693,1380,,F,8,1994,1994,0,0
1714,1458,,M,8,,,,
1715,1458,,M,8,,,,
1716,1458,,F,8,1994,1994,0,0
1816,,,F,8,,,,
1844,773,,F,8,1995,1995,0,0
1845,773,,F,8,1995,1995,0,0
1846,773,,F,8,1995,1995,0,0
1847,773,,F,8,1995,2000,12,2
1848,773,,F,8,1995,1995,0,0
1849,771,,M,8,,,,
1850,771,,M,8,,,,
1851,771,,M,8,,,,
1852,771,,F,8,1995,1995,0,0
1853,771,,M,8,,,,
1854,771,,F,8,1995,1995,0,0
1874,706,,F,8,1995,1995,0,0
1875,1042,,F,8,1995,1996,4,2
1876,1042,,F,8,1995,2000,18,3
1881,1314,,F,8,1995,2000,8,1.33
1882,1314,,M,8,,,,
1883,1314,,F,8,1995,1999,15,3
1884,919,,F,8,1995,1999,9,1.8
1885,919,,F,8,1995,2000,7,1.17
1886,1358,,M,8,,,,
1887,1358,,F,8,1995,1999,16,3.2
1888,1358,,M,8,,,,
1889,1358,,M,8,,,,
1890,1358,,M,8,,,,
1891,1345,,M,8,,,,
1892,1323,,F,8,1995,1995,0,0
1893,1323,,F,8,1995,1995,0,0
1894,1323,,F,8,1995,1999,12,2.4
1895,1357,,F,8,1995,1995,0,0
1896,1357,,M,8,,,,
1897,1357,,M,8,,,,
1898,1357,,F,8,1995,1995,0,0
1899,1357,,M,8,,,,
1900,1324,,M,8,,,,
1901,1324,,F,8,1995,1995,0,0
1902,1324,,M,8,,,,
1903,1324,,M,8,,,,
1904,1325,,F,8,1995,2000,19,3.17
1905,1325,,F,8,1995,1999,9,1.8
1906,1325,,M,8,,,,
1911,1335,,F,8,1995,1996,1,0.5
1912,1335,,F,8,1995,1997,0,0
1913,1335,,M,8,,,,
1914,1379,,M,8,,,,
1915,1379,,F,8,,,,
1916,1379,,F,8,1995,1995,0,0
1917,768,,F,8,1995,2001,0,0
1918,768,,M,8,,,,
1925,1025,,M,8,,,,
1926,1025,,F,8,1995,2000,15,2.5
1927,1025,,F,8,1995,1995,0,0
1933,788,,F,160,1995,1995,0,0
1934,788,,F,160,1995,1995,0,0
1936,1410,,F,8,1995,1997,0,0
1937,1265,,M,8,,,,
1938,1337,,M,8,,,,
1939,1337,,M,8,,,,
1940,1337,,F,8,1995,1998,0,0
1941,1337,,M,8,,,,
1942,1297,,F,8,1995,2000,3,0.5
1943,1297,,F,8,1995,1995,0,0
1944,1297,,M,8,,,,
1945,1297,,F,8,1995,1995,0,0
1946,1297,,F,8,1995,1999,5,1
1947,1298,,F,8,1995,1998,9,2
